index	name	color
1	ctx-rh-lateralorbitofrontal_1 	#167041
2	ctx-rh-lateralorbitofrontal_2 	#0af400
3	ctx-rh-lateralorbitofrontal_3 	#8b2c32
4	ctx-rh-lateralorbitofrontal_4 	#eee95c
5	ctx-rh-parsorbitalis_1 	#b449a2
6	ctx-rh-frontalpole_1 	#c4bd73
7	ctx-rh-medialorbitofrontal_1 	#f7f66e
8	ctx-rh-medialorbitofrontal_2 	#7342b7
9	ctx-rh-medialorbitofrontal_3 	#f3e47c
10	ctx-rh-parstriangularis_1 	#d8a6f9
11	ctx-rh-parstriangularis_2 	#4b221c
12	ctx-rh-parsopercularis_1 	#bf39c9
13	ctx-rh-parsopercularis_2 	#d6a24f
14	ctx-rh-rostralmiddlefrontal_1 	#d61188
15	ctx-rh-rostralmiddlefrontal_2 	#fde86a
16	ctx-rh-rostralmiddlefrontal_3 	#46f567
17	ctx-rh-rostralmiddlefrontal_4 	#ee1a5d
18	ctx-rh-rostralmiddlefrontal_5 	#7468dc
19	ctx-rh-rostralmiddlefrontal_6 	#235594
20	ctx-rh-superiorfrontal_1 	#ae160d
21	ctx-rh-superiorfrontal_2 	#d1faeb
22	ctx-rh-superiorfrontal_3 	#f3ae08
23	ctx-rh-superiorfrontal_4 	#c7fac6
24	ctx-rh-superiorfrontal_5 	#fce6a5
25	ctx-rh-superiorfrontal_6 	#1f47c7
26	ctx-rh-superiorfrontal_7 	#c264a9
27	ctx-rh-superiorfrontal_8 	#5618ab
28	ctx-rh-caudalmiddlefrontal_1 	#9d34a6
29	ctx-rh-caudalmiddlefrontal_2 	#5d39ad
30	ctx-rh-caudalmiddlefrontal_3 	#5aac23
31	ctx-rh-precentral_1 	#66572a
32	ctx-rh-precentral_2 	#cbc5f8
33	ctx-rh-precentral_3 	#f2a776
34	ctx-rh-precentral_4 	#2fd6aa
35	ctx-rh-precentral_5 	#f0cd7f
36	ctx-rh-precentral_6 	#5ea699
37	ctx-rh-paracentral_1 	#5b54a6
38	ctx-rh-paracentral_2 	#33ff79
39	ctx-rh-paracentral_3 	#7d74b9
