index	name	color
1	r1@197	#1d5cec
2	r2@197	#2cf453
3	r3@197	#f9f56b
4	r4@197	#47f227
5	r5@197	#240575
6	r6@197	#ca30a8
7	r7@197	#a6c265
8	r8@197	#7f0967
9	r9@197	#43c072
10	r10@197	#88d734
11	r11@197	#f2df1c
12	r12@197	#a631d7
13	r13@197	#d05c94
14	r14@197	#9fc8df
15	r15@197	#537132
16	r16@197	#a2c267
17	r17@197	#e266f5
18	r18@197	#ad82f7
19	r19@197	#d5238c
20	r20@197	#ef4744
21	r21@197	#409867
22	r22@197	#ac5a9b
23	r23@197	#75d9d6
24	r24@197	#afc912
25	r25@197	#659bc1
26	r26@197	#b22ae2
27	r27@197	#db0607
28	r28@197	#76b72e
29	r29@197	#421d14
30	r30@197	#663247
31	r31@197	#6e3cae
32	r32@197	#1e2764
33	r33@197	#3c9d53
34	r34@197	#bb367d
35	r35@197	#ad3bf7
36	r36@197	#a0b6ff
37	r37@197	#1d4cfd
38	r38@197	#1aa52b
39	r39@197	#371a27
40	r40@197	#cc0657
41	r41@197	#fe4dae
42	r42@197	#af4de9
43	r43@197	#f73efb
44	r44@197	#0e03bb
45	r45@197	#c03199
46	r46@197	#f86c21
47	r47@197	#e3e322
48	r48@197	#e5877d
49	r49@197	#e17113
50	r50@197	#b32940
51	r51@197	#dc2ab9
52	r52@197	#e72524
53	r53@197	#35186e
54	r54@197	#db0a80
55	r55@197	#baea41
56	r56@197	#d15901
57	r57@197	#90ac32
58	r58@197	#5eca66
59	r59@197	#4dd033
60	r60@197	#cf48b8
61	r61@197	#29e8c4
62	r62@197	#0e75fe
63	r63@197	#601f30
64	r64@197	#a46171
65	r65@197	#1ec185
66	r66@197	#27939a
67	r67@197	#6cd81f
68	r68@197	#bb0ba5
69	r69@197	#271075
70	r70@197	#459984
71	r71@197	#eb50bf
72	r72@197	#544fdb
73	r73@197	#943b5d
74	r74@197	#345ed7
75	r75@197	#f16d2a
76	r76@197	#a9f922
77	r77@197	#028d68
78	r78@197	#bb27ad
79	r79@197	#34b61b
80	r80@197	#f22cfc
81	r81@197	#f92406
82	r82@197	#120a1a
83	r83@197	#f621de
84	r84@197	#ed5c95
85	r85@197	#0a7eec
86	r86@197	#bc9355
87	r87@197	#c1b048
88	r88@197	#66e146
89	r89@197	#ec12e6
90	r90@197	#e22ffa
91	r91@197	#6a5796
92	r92@197	#3acfd1
93	r93@197	#bdebd9
94	r94@197	#6fe53e
95	r95@197	#d6d670
96	r96@197	#97c543
97	r97@197	#e7192e
98	r98@197	#fc4932
99	r99@197	#86336b
100	r100@197	#8b7a0a
101	r101@197	#dbc616
102	r102@197	#00c81c
103	r103@197	#5936ea
104	r104@197	#efba5d
105	r105@197	#918f9f
106	r106@197	#78389b
107	r107@197	#b5cbc8
108	r108@197	#e2ecf1
109	r109@197	#6faed8
110	r110@197	#5928c7
111	r111@197	#3a4f51
112	r112@197	#0a0f09
113	r113@197	#a46981
114	r114@197	#816a7c
115	r115@197	#8b1566
116	r116@197	#731cd8
117	r117@197	#a015c0
118	r118@197	#363936
119	r119@197	#f16c76
120	r120@197	#0e81f2
121	r121@197	#459f7c
122	r122@197	#be835e
123	r123@197	#2c212a
124	r124@197	#ac555c
125	r125@197	#a6314d
126	r126@197	#f96dc1
127	r127@197	#649534
128	r128@197	#136c62
129	r129@197	#ea4941
130	r130@197	#63c6ce
131	r131@197	#208626
132	r132@197	#fd0694
133	r133@197	#f9fc2b
134	r134@197	#f70d3f
135	r135@197	#7b6768
136	r136@197	#6ccdfb
137	r137@197	#2b2b1a
138	r138@197	#01bbcc
139	r139@197	#3b5985
140	r140@197	#64f121
141	r141@197	#1e45a0
142	r142@197	#3155b6
143	r143@197	#5ae76d
144	r144@197	#cac7c1
145	r145@197	#221410
146	r146@197	#b1b487
147	r147@197	#c726f2
148	r148@197	#95aeaa
149	r149@197	#977162
150	r150@197	#4c0da6
151	r151@197	#2b5f0a
152	r152@197	#84cf49
153	r153@197	#88de05
154	r154@197	#b8840c
155	r155@197	#b62353
156	r156@197	#f5e00b
157	r157@197	#4099fa
158	r158@197	#384710
159	r159@197	#3a072d
160	r160@197	#f24921
161	r161@197	#aa8cdf
162	r162@197	#62ed82
163	r163@197	#1534d6
164	r164@197	#4625c0
165	r165@197	#ff2b3a
166	r166@197	#acd19b
167	r167@197	#df1869
168	r168@197	#5468a5
169	r169@197	#143c16
170	r170@197	#15350a
171	r171@197	#a9b495
172	r172@197	#0f8d1e
173	r173@197	#7ce75d
174	r174@197	#c2dae3
175	r175@197	#2d380d
176	r176@197	#0d4c10
177	r177@197	#7e4394
178	r178@197	#f4dd12
179	r179@197	#4e91ea
180	r180@197	#b3084b
181	r181@197	#65d7cc
182	r182@197	#2f7e61
183	r183@197	#9de48a
184	r184@197	#1432f4
185	r185@197	#e7e16a
186	r186@197	#cfca01
187	r187@197	#50a4f9
188	r188@197	#a89c1f
189	r189@197	#dfd514
190	r190@197	#127669
191	r191@197	#d6bd84
192	r192@197	#ab1bba
193	r193@197	#4c1fd3
194	r194@197	#9fd162
195	r195@197	#41daef
196	r196@197	#439867
197	r197@197	#474b5f
